no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
12             ci37528064     35.5423333     -119.3728333   22.14          4.87           86             6              8              2              
13             ci38443183     35.7053333     -117.5038333   10.5           6.4            89             1              4              1              
14             ci38443607     35.6013333     -117.597       2.81           4.59           80             6              6              2              
15             ci38443719     35.716         -117.56        1.92           4.58           83             6              6              2              
16             ci38443871     35.6715        -117.4788333   5.16           4.5            90             4              6              1              
17             ci38450263     35.7603333     -117.575       6.95           5.37           82             6              6              0              
18             ci38457487     35.7253333     -117.5535      0.88           4.97           84             6              6              1              
19             ci38457511     35.7695        -117.5993333   8.0            7.1            80             4              6              1              
20             ci37222196     35.9496667     -117.7376667   9.28           4.81           75             4              6              1              
21             ci38457519     35.9216667     -117.729       8.17           4.64           73             4              6              1              
22             ci37219484     35.748         -117.5456667   3.9            4.55           85             4              5              1              
23             ci37219500     35.6166667     -117.4301667   9.35           4.73           95             4              5              1              
24             ci37219156     35.891         -117.7365      9.1            4.64           72             4              5              1              
25             ci37219468     35.861         -117.6778333   6.82           4.52           75             5              5              1              
26             ci37219164     35.8031667     -117.6178333   11.44          4.84           80             5              5              1              
27             ci37219172     35.8606667     -117.6708333   10.32          4.61           77             5              5              0              
28             ci37219180     35.9138333     -117.7258333   8.0            4.5            73             6              6              2              
29             ci37219564     35.5303333     -117.4313333   3.83           4.57           96             6              6              2              
30             ci38457583     35.9028333     -117.7115      3.18           4.51           74             6              6              0              
31             ci38457687     35.9011667     -117.7495      5.04           5.5            71             6              6              1              
32             ci38457703     35.9035        -117.7001667   8.26           4.97           75             4              6              1              
33             ci38457775     35.5551667     -117.5215      5.5            4.68           87             4              6              1              
34             ci38457815     35.5846667     -117.6145      9.73           4.8            79             4              6              1              
35             ci38457847     35.9101667     -117.6848333   7.41           5.44           76             2              6              2              
36             ci38457967     35.9           -117.7376667   1.9            4.85           72             5              7              1              
37             ci38458679     35.911         -117.7385      4.99           4.63           72             4              6              1              
38             ci38460311     35.639         -117.4913333   3.14           4.56           89             4              6              1              
39             ci38460967     35.898         -117.7271667   3.95           4.89           72             3              4              1              
40             ci38463551     35.9283333     -117.705       2.37           4.5            75             6              6              1              
41             ci38469375     35.8235        -117.663       6.51           4.5            75             6              6              1              
42             ci38472279     35.7683333     -117.5781667   10.45          4.53           83             7              7              1              
43             ci38525207     36.1766667     -117.884       0.93           4.52           78             4              6              1              
44             ci38548295     35.6368333     -117.5861667   9.48           4.9            81             5              6              1              
45             ci38593535     36.113         -117.8875      1.56           4.64           73             5              6              0              
46             ci38644943     35.9258333     -117.7066667   3.79           4.74           75             7              7              1              
47             ci38996632     35.9076667     -117.709       4.93           4.89           74             3              7              2              
48             ci39462536     35.6148333     -117.4281667   8.44           5.51           95             5              6              1              
49             ci39490952     36.4466667     -117.984       2.26           4.65           98             6              7              1              
50             ci39493944     36.4468333     -117.9751667   4.66           5.8            98             2              5              1              
51             ci39494008     36.456         -117.9311667   9.62           4.59           101            6              7              2              
52             ci39584648     36.4786667     -117.5141667   -0.57          4.72           125            2              6              2              
53             ci40063391     35.7091667     -117.5843333   6.3            4.58           81             6              6              2              
