no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
11                            ci38443183                    2019-07-04T17:33:49.000000Z   35.7053333                    -117.5038333                  10.5                          6.4                           103.0                         
12                            ci38443607                    2019-07-04T18:39:44.440000Z   35.6013333                    -117.597                      2.81                          4.59                          97.0                          
13                            ci38443719                    2019-07-04T18:56:06.420000Z   35.716                        -117.56                       1.92                          4.58                          106.0                         
14                            ci38443871                    2019-07-04T19:21:32.090000Z   35.6715                       -117.4788333                  5.16                          4.5                           99.0                          
15                            ci38450263                    2019-07-05T11:07:53.040000Z   35.7603333                    -117.575                      6.95                          5.37                          111.0                         
16                            ci38457487                    2019-07-06T03:16:32.480000Z   35.7253333                    -117.5535                     0.88                          4.97                          107.0                         
17                            ci38457511                    2019-07-06T03:19:53.040000Z   35.7695                       -117.5993333                  8                             7.1                           113.0                         
18                            ci37219484                    2019-07-06T03:22:17.100000Z   35.748                        -117.5456667                  3.9                           4.55                          109.0                         
19                            ci37219500                    2019-07-06T03:22:35.630000Z   35.6166667                    -117.4301667                  9.35                          4.73                          91.0                          
20                            ci37219564                    2019-07-06T03:27:11.370000Z   35.5303333                    -117.4313333                  3.83                          4.57                          83.0                          
21                            ci38457775                    2019-07-06T04:07:04.570000Z   35.5551667                    -117.5215                     5.5                           4.68                          89.0                          
22                            ci38457815                    2019-07-06T04:13:07.080000Z   35.5846667                    -117.6145                     9.73                          4.8                           97.0                          
23                            ci38460311                    2019-07-06T08:32:57.550000Z   35.639                        -117.4913333                  3.14                          4.56                          96.0                          
24                            ci38472279                    2019-07-07T05:38:15.480000Z   35.7683333                    -117.5781667                  10.45                         4.53                          112.0                         
25                            ci38548295                    2019-07-12T13:11:37.990000Z   35.6368333                    -117.5861667                  9.48                          4.9                           100.0                         
26                            ci39281440                    2020-01-25T03:03:34.920000Z   35.0975                       -116.9696667                  3.07                          4.62                          25.0                          
27                            ci39462536                    2020-06-04T01:32:11.140000Z   35.6148333                    -117.4281667                  8.44                          5.51                          91.0                          
28                            ci40063391                    2022-07-15T01:19:07.000000Z   35.7091667                    -117.5843333                  6.3                           4.58                          107.0                         
