no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
9                             ci38443183                    2019-07-04T17:33:49.000000Z   35.7053333                    -117.5038333                  10.5                          6.4                           39.0                          
10                            ci38443607                    2019-07-04T18:39:44.440000Z   35.6013333                    -117.597                      2.81                          4.59                          52.0                          
11                            ci38443719                    2019-07-04T18:56:06.420000Z   35.716                        -117.56                       1.92                          4.58                          38.0                          
12                            ci38443871                    2019-07-04T19:21:32.090000Z   35.6715                       -117.4788333                  5.16                          4.5                           43.0                          
13                            ci38450263                    2019-07-05T11:07:53.040000Z   35.7603333                    -117.575                      6.95                          5.37                          34.0                          
14                            ci38457487                    2019-07-06T03:16:32.480000Z   35.7253333                    -117.5535                     0.88                          4.97                          37.0                          
15                            ci38457511                    2019-07-06T03:19:53.040000Z   35.7695                       -117.5993333                  8                             7.1                           34.0                          
16                            ci37222196                    2019-07-06T03:20:41.140000Z   35.9496667                    -117.7376667                  9.28                          4.81                          25.0                          
17                            ci38457519                    2019-07-06T03:22:03.570000Z   35.9216667                    -117.729                      8.17                          4.64                          26.0                          
18                            ci37219484                    2019-07-06T03:22:17.100000Z   35.748                        -117.5456667                  3.9                           4.55                          35.0                          
19                            ci37219500                    2019-07-06T03:22:35.630000Z   35.6166667                    -117.4301667                  9.35                          4.73                          49.0                          
20                            ci37219156                    2019-07-06T03:22:48.300000Z   35.891                        -117.7365                     9.1                           4.64                          29.0                          
21                            ci37219468                    2019-07-06T03:23:19.870000Z   35.861                        -117.6778333                  6.82                          4.52                          28.0                          
22                            ci37219164                    2019-07-06T03:23:50.720000Z   35.8031667                    -117.6178333                  11.44                         4.84                          31.0                          
23                            ci37219172                    2019-07-06T03:25:27.970000Z   35.8606667                    -117.6708333                  10.32                         4.61                          27.0                          
24                            ci37219180                    2019-07-06T03:27:07.010000Z   35.9138333                    -117.7258333                  8                             4.5                           27.0                          
25                            ci37219564                    2019-07-06T03:27:11.370000Z   35.5303333                    -117.4313333                  3.83                          4.57                          59.0                          
26                            ci38457583                    2019-07-06T03:29:32.080000Z   35.9028333                    -117.7115                     3.18                          4.51                          26.0                          
27                            ci38457687                    2019-07-06T03:47:53.420000Z   35.9011667                    -117.7495                     5.04                          5.5                           29.0                          
28                            ci38457703                    2019-07-06T03:50:59.710000Z   35.9035                       -117.7001667                  8.26                          4.97                          26.0                          
29                            ci38457775                    2019-07-06T04:07:04.570000Z   35.5551667                    -117.5215                     5.5                           4.68                          56.0                          
30                            ci38457815                    2019-07-06T04:13:07.080000Z   35.5846667                    -117.6145                     9.73                          4.8                           54.0                          
31                            ci38457847                    2019-07-06T04:18:55.790000Z   35.9101667                    -117.6848333                  7.41                          5.44                          24.0                          
32                            ci38457967                    2019-07-06T04:36:55.310000Z   35.9                          -117.7376667                  1.9                           4.85                          28.0                          
33                            ci38458679                    2019-07-06T06:01:51.800000Z   35.911                        -117.7385                     4.99                          4.63                          28.0                          
34                            ci38460311                    2019-07-06T08:32:57.550000Z   35.639                        -117.4913333                  3.14                          4.56                          46.0                          
35                            ci38460967                    2019-07-06T09:28:28.980000Z   35.898                        -117.7271667                  3.95                          4.89                          28.0                          
36                            ci38463551                    2019-07-06T13:06:55.260000Z   35.9283333                    -117.705                      2.37                          4.5                           24.0                          
37                            ci38469375                    2019-07-06T23:50:41.990000Z   35.8235                       -117.663                      6.51                          4.5                           30.0                          
38                            ci38472279                    2019-07-07T05:38:15.480000Z   35.7683333                    -117.5781667                  10.45                         4.53                          33.0                          
39                            ci38525207                    2019-07-11T00:14:37.320000Z   36.1766667                    -117.884                      0.93                          4.52                          38.0                          
40                            ci38548295                    2019-07-12T13:11:37.990000Z   35.6368333                    -117.5861667                  9.48                          4.9                           48.0                          
41                            ci38593535                    2019-07-18T03:59:14.720000Z   36.113                        -117.8875                     1.56                          4.64                          36.0                          
42                            ci38644943                    2019-07-26T00:42:47.770000Z   35.9258333                    -117.7066667                  3.79                          4.74                          24.0                          
43                            ci38996632                    2019-08-22T20:49:50.180000Z   35.9076667                    -117.709                      4.93                          4.89                          26.0                          
44                            ci39462536                    2020-06-04T01:32:11.140000Z   35.6148333                    -117.4281667                  8.44                          5.51                          49.0                          
48                            ci39584648                    2020-08-19T17:32:11.070000Z   36.4786667                    -117.5141667                  -0.57                         4.72                          47.0                          
