no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
3              ci13935988     34.312         -116.8448333   5.589          4.99           96             2              4              1              
4              ci13936812     34.3096667     -116.8503333   1.409          4.5            96             5              5              1              
5              ci13938812     34.3155        -116.8445      1.099          4.61           96             3              3              1              
6              ci13945908     34.3591667     -116.1331667   3.069          4.64           97             4              4              1              
7              ci14151344     33.5325        -116.5666667   13.051         5.2            18             2              2              0              
9              ci14178184     33.1663333     -115.6351667   4.003          4.63           84             4              4              1              
10             ci14178248     33.1896667     -115.603       4.267          4.57           85             2              3              1              
11             ci12217067     33.1748333     -115.6311667   4.977          4.5            83             2              3              1              
12             ci14179736     33.1533333     -115.6463333   1.207          5.08           83             2              3              1              
13             ci10215753     32.676         -116.0481667   13.436         4.62           101            3              4              1              
14             ci10275733     33.7321667     -117.477       12.192         4.73           101            2              5              1              
15             ci14433456     33.3171667     -115.7281667   6.003          4.77           69             6              6              1              
16             ci14609660     32.6465        -115.8055      1.243          4.96           113            3              4              1              
17             ci14612516     32.6638333     -115.8088333   13.653         4.93           112            2              3              1              
18             ci14613212     32.6401667     -115.8018333   0.002          4.73           114            3              3              1              
19             ci14618772     32.6651667     -115.8106667   1.733          4.51           111            3              3              1              
20             ci10597061     32.6753333     -115.7581667   9.715          4.5            113            3              6              1              
21             ci10629477     32.6595        -115.8075      5.315          4.63           112            3              3              1              
22             ci14682004     32.6921667     -115.8465      3.278          4.58           107            2              6              1              
23             ci10657533     32.6815        -115.7971667   5.955          4.8            110            2              4              1              
24             ci10657549     32.6755        -115.8101667   2.383          4.69           110            1              3              1              
25             ci10671989     32.6601667     -115.8253333   8.913          4.53           111            2              3              1              
26             ci14718764     32.6243333     -115.7683333   7.493          4.6            117            3              3              1              
27             ci14745580     32.705         -115.9113333   8.756          5.71           103            2              3              1              
28             ci10736069     33.4173333     -116.4746667   12.318         5.42           18             3              3              0              
29             ci10832573     32.8645        -115.9973333   13.146         4.57           84             6              6              2              
30             ci15199593     33.0158333     -115.5363333   4.79           4.59           100            2              4              1              
31             ci15199681     33.0171667     -115.5536667   8.323          5.32           99             3              3              0              
32             ci15199689     33.0135        -115.5591667   4.387          4.89           99             3              3              0              
33             ci15200401     33.0185        -115.5403333   8.283          5.41           100            2              3              1              
34             ci15201537     33.028         -115.5305      7.47           4.63           100            2              3              1              
35             ci15202921     33.0211667     -115.5195      4.17           4.93           101            2              3              1              
36             ci15296281     33.5008333     -116.4581667   10.943         4.7            12             3              3              0              
37             ci15520985     34.2823333     -117.0266667   7.25           4.58           101            2              3              1              
38             ci37374687     33.4315        -116.4426667   12.31          5.19           16             3              3              1              
43             ci39919392     33.14          -115.6348333   5.78           5.25           85             2              4              1              
44             ci39720706     32.7518333     -115.8728333   8.69           4.8            100            3              3              1              
