no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
2                             ci9818433                     2002-09-03T07:08:51.840000Z   33.9123333                    -117.7833333                  9.371                         4.78                          92.0                          
3                             ci13935988                    2003-02-22T12:19:10.920000Z   34.312                        -116.8448333                  5.589                         4.99                          76.0                          
4                             ci13936812                    2003-02-22T19:33:45.800000Z   34.3096667                    -116.8503333                  1.409                         4.5                           75.0                          
5                             ci13938812                    2003-02-25T04:03:04.800000Z   34.3155                       -116.8445                     1.099                         4.61                          76.0                          
6                             ci13945908                    2003-03-11T19:28:17.910000Z   34.3591667                    -116.1331667                  3.069                         4.64                          104.0                         
7                             ci14151344                    2005-06-12T15:41:46.520000Z   33.5325                       -116.5666667                  13.051                        5.2                           28.0                          
8                             ci14155260                    2005-06-16T20:53:26.020000Z   34.058                        -117.0113333                  10.558                        4.88                          50.0                          
9                             ci10275733                    2007-09-02T17:29:14.790000Z   33.7321667                    -117.477                      12.192                        4.73                          59.0                          
10                            ci14383980                    2008-07-29T18:42:15.670000Z   33.9485                       -117.7663333                  15.503                        5.44                          92.0                          
11                            ci10736069                    2010-07-07T23:53:33.480000Z   33.4173333                    -116.4746667                  12.318                        5.42                          42.0                          
12                            ci10832573                    2010-11-04T19:39:59.550000Z   32.8645                       -115.9973333                  13.146                        4.57                          116.0                         
13                            ci15296281                    2013-03-11T16:56:06.060000Z   33.5008333                    -116.4581667                  10.943                        4.7                           39.0                          
14                            ci15481673                    2014-03-29T04:09:42.170000Z   33.9325                       -117.9158333                  5.09                          5.1                           104.0                         
15                            ci15520985                    2014-07-05T16:59:34.090000Z   34.2823333                    -117.0266667                  7.25                          4.58                          74.0                          
16                            ci37374687                    2016-06-10T08:04:38.700000Z   33.4315                       -116.4426667                  12.31                         5.19                          44.0                          
18                            ci38488354                    2020-05-10T22:07:40.370000Z   33.0183333                    -116.0201667                  10.16                         4.54                          103.0                         
19                            ci39720706                    2023-12-01T07:43:27.480000Z   32.7518333                    -115.8728333                  8.69                          4.8                           133.0                         
